model;rated_mAh;tested_mAh;rated_CDR_A;rated_TL_A;estimated_CDR_A;estimated_TL_A;DCIR_mOhm;E5_Wh;E10_Wh;E15_Wh;E20_Wh;E30_Wh;E40_Wh;E50_Wh;test_date_raw;note;test_date;source;source_kind;cutoff_energy_V;capacity_basis;url;article_status;publication_date
Ampace JP50P1;5000.0;5000.0;40.0;60.0;40.0;60.0;5.7;16.0;16.3;;16.0;15.4;14.9;;1/5/26;;2026-01-05;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-ampace-jp50p1-no-ccc-logo-40a-60a-5000mah-21700.993063/;"Только заголовок; текст не извлечён";
Amprius INR21700/50Q (5000Q?);5000.0;5000.0;50.0;125.0;40.0;100.0;6.8;16.6;16.5;;16.3;15.6;15.3;;2/27/26;Название 5000Q в фото под вопросом;2026-02-27;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-amprius-inr21700-50q-no-ccc-50a-5000mah-21700-is-it-5000q.993503/;"Только заголовок; текст не извлечён";
Amprius INR21700/65 (SA112);6500.0;6500.0;13.0;;13.0;;23.4;18.7;18.2;;;;;;1/23/26;;2026-01-23;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-amprius-inr21700-65-sa112-no-ccc-logo-13a-6500mah-21700.993201/;"Только заголовок; текст не извлечён";
BAK 45D;4500.0;4500.0;60.0;;30.0;60.0;6.0;15.0;15.0;;14.7;14.1;;;11/24/24;;2024-11-24;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-bak-45d-30a-60a-4500mah-21700.988135/;"Только заголовок; текст не извлечён";
BAK 50D2;4950.0;4950.0;60.0;;40.0;60.0;5.3;16.6;16.7;;16.5;16.1;15.8;;5/3/26;;2026-05-03;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-bak-50d2-60a-4950mah-full-tab-21700.994042/;"Только заголовок; текст не извлечён";
BAK 65E;6500.0;6500.0;25.4;;20.0;25.4;10.8;20.4;20.2;;19.3;;;;3/24/26;;2026-03-24;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-bak-65e-25-4a-6500mah-21700.993668/;"Только заголовок; текст не извлечён";
BAK N21700CD-53E;5300.0;5300.0;10.6;;10.6;;19.4;17.0;16.5;;;;;;10/5/24;;2024-10-05;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;;Ссылка на точную версию не установлена;
BAK N21700CG-50;4900.0;4900.0;15.0;;10.0;15.0;22.2;16.1;15.8;14.6;;;;;9/19/21;;2021-09-19;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;;Ссылка на точную версию не установлена;
BTCAP 42P;4200.0;4200.0;;70.0;35.0;70.0;8.4;14.3;14.3;;13.9;13.2;;;10/6/25;Rated CDR неизвестен;2025-10-06;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-retest-results-btcap-42p-tabless-70%CE%91-4200mah-21700-pre-production-samples.992208/;"Только заголовок; текст не извлечён";
EVE 50E (CCC logo);5000.0;5000.0;15.0;;10.0;15.0;25.3;16.3;15.9;;;;;;10/30/25;;2025-10-30;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-retest-results-eve-50e-ccc-logo-15a-5000mah-21700.992147/;"Только заголовок; текст не извлечён";
EVE 50PL (CCC logo);5000.0;5000.0;50.0;;40.0;50.0;7.6;15.7;16.1;;15.9;15.1;14.9;;12/26/25;;2025-12-26;IMG_3419.jpeg, Battery Mooch, 2026-08-11;Фото;2.8;rated_mAh;https://www.e-cigarette-forum.com/threads/bench-test-results-eve-50pl-50a-5000mah-21700-with-ccc-logo-and-ce-mark.992920/;"Только заголовок; текст не извлечён";
