model|rated_mAh|tested_mAh|rated_CDR_A|rated_TL_A|estimated_CDR_A|estimated_TL_A|DCIR_mOhm|E5_Wh|E10_Wh|E15_Wh|E20_Wh|E30_Wh|E40_Wh|E50_Wh|test_date_raw|note
Ampace JP50P1|5000|5000|40|60|40|60|5.7|16.0|16.3||16.0|15.4|14.9||1/5/26|
Amprius INR21700/50Q (5000Q?)|5000|5000|50|125|40|100|6.8|16.6|16.5||16.3|15.6|15.3||2/27/26|Название 5000Q в фото под вопросом
Amprius INR21700/65 (SA112)|6500|6500|13||13||23.4|18.7|18.2||||||1/23/26|
BAK 45D|4500|4500|60||30|60|6.0|15.0|15.0||14.7|14.1|||11/24/24|
BAK 50D2|4950|4950|60||40|60|5.3|16.6|16.7||16.5|16.1|15.8||5/3/26|
BAK 65E|6500|6500|25.4||20|25.4|10.8|20.4|20.2||19.3||||3/24/26|
BAK N21700CD-53E|5300|5300|10.6||10.6||19.4|17.0|16.5||||||10/5/24|
BAK N21700CG-50|4900|4900|15||10|15|22.2|16.1|15.8|14.6|||||9/19/21|
BTCAP 42P|4200|4200||70|35|70|8.4|14.3|14.3||13.9|13.2|||10/6/25|Rated CDR неизвестен
EVE 50E (CCC logo)|5000|5000|15||10|15|25.3|16.3|15.9||||||10/30/25|
EVE 50PL (CCC logo)|5000|5000|50||40|50|7.6|15.7|16.1||15.9|15.1|14.9||12/26/25|
EVE 58E|5700|5700|16.8||13|16.8|17.2|18.4|17.9|16.2|||||5/21/25|
FEB 21700G (68E)|6500|6500|13||13||20.0|19.2|18.5||||||3/28/26|
Great Power (GPHN) 50Q|5000|5000|50|125|40|100|6.1|16.7|16.8||16.5|16.1|15.9||5/7/26|
LG H50||4900|||9.8||15.3||15.9||||||7/31/21|Паспортная ёмкость неизвестна; включено по Tested mAh
LG H51T|5000|5000|20||20||18.4|16.3|16.1|14.5|14.3||||10/18/25|Не объединять с LG H51
LG M50LT|4932|4800|14.4||14.4||18.3|16.3|16.1||||||12/22/22|Ток только при температуре среды не выше комнатной
LG M50T|5014|4900|14.6||14.6||27.1|15.2|14.4||||||12/10/22|Ток только при температуре среды не выше комнатной
LG M58T|5570|5570|12.5||12.5||18.9|17.9|17.2||||||6/16/25|
Linkdata 55P|5500|5400|40|50|40|50|4.9|17.8|17.7||17.4|16.9|16.4||8/1/26|
Linkdata 60P|6000|6000|60||30|60|7.6|18.9|18.7||18.0|16.9|||5/3/26|
Linkdata 65P|6500|6500|52||25|52|6.3|20.5|20.3||20.0||||6/11/26|
Lishen LR2170SD (pink)|5000|4900|9.6||9.6||25.5|15.4|15.1||||||10/31/21|
Lishen LR2170SF (orange)|4500|4500|13.5||13.5||23.7|14.4|13.9||||||11/1/21|
Lishen LR2170SK|5800|5750|16.95||12|17|21.7|17.4|16.7||||||5/22/25|
Molicel P45B (2024-dated)|4500|4450||45|35|45|9.7|14.8|14.7||14.2|13.4|||12/27/24|Rated 45 A при температуре ниже 80 °C
Molicel P50B (2024-dated)|5000|5000|60||35|60|8.2|16.0|15.7||15.2|14.2|||1/4/25|
Molicel M50A|4800|4900|15||15||21.3|15.8|15.1||||||9/19/20|
Reliance RH60 (regular top contact, small spiral)|5850|5850|20||20||9.3|18.5|18.6|17.6|18.0||||5/1/26|
Reliance RS50 (CCC logo, batch G3E)|4950|4950||70|40|70|6.5|16.6|16.7||16.5|16.0|15.7||5/5/26|DCIR 6.5 на фото расходится с 5.52/5.56 в статье
Reliance RS60 (direct from Reliance)|5850|5850|50||30|50|6.2|19.2|19.3||18.8|18.7|||5/19/26|
Samsung 45T (CC4503F101 Ver C)|4500|4500|35|50|30|50|10.4|15.0|14.8||14.3|13.1|||2/24/25|Rated 35/50 A в фото помечен RUMORED
Samsung 50E2|4900|4900|9.8||9.8|14.7|16.9|16.0|15.6||||||7/24/22|
Samsung 50S2|5000|5000|25|45|25|45|13.4|16.8|16.4|15.4|15.2||||1/28/25|Не объединять с прежним 50S
Samsung 53G|5300|5200|10.6||10.6||28.1|16.8|16.2||||||9/14/24|
Samsung 50GB|5000|5000|9.8||9.8||16.5|16.4|15.9||||||10/6/24|
Samsung 58E (CC4593F101, Ver A)|5490|5499|11|16|11|16|15.6|18.0|17.5||||||3/6/25|Имя/код и Tested 5499 переданы как на фото; идентичность с 55E не подтверждена
Tenpower 50SG|5000|5000|20|50|20|40|11.3|16.0|15.8|14.8|14.7||||7/21/26|
Tenpower 50XG|5000|5000|40|90|40|90|6.9|16.1|15.9||16.1|15.4|15.2||10/12/25|В статье образцы без CCC, возможная предсерия
Tenpower 60XG|6000|6000|40|60|35|60|5.4|19.2|19.3||19.1|18.4|||6/25/26|
Vapcell F66|6600|6600|12.5||12.5||19.8|19.4|18.8||||||8/7/26|Ребрендинг; производитель ячеек может меняться
